#Time,X,Y,Z,CONF
000096.360,0.58,0.83,0.22,59
000096.460,0.58,0.82,0.23,81
000096.560,0.60,0.80,0.06,63
000096.660,0.61,0.79,0.02,94
000096.760,0.61,0.79,0.07,83
000096.860,0.60,0.81,0.16,55
000096.960,0.61,0.79,0.06,86
000097.060,0.61,0.79,-0.01,86
000097.160,0.62,0.79,-0.05,90
000097.260,0.61,0.80,0.07,61
000097.360,0.63,0.78,-0.00,90
000097.460,0.64,0.76,-0.06,86
000097.560,0.62,0.78,0.06,60
000097.660,0.61,0.79,0.11,82
000097.760,0.59,0.82,0.18,53
000097.860,0.60,0.79,0.09,89
000097.960,0.58,0.81,0.17,57
000098.060,0.58,0.82,0.23,57
000098.160,0.55,0.85,0.28,52
000098.260,0.54,0.86,0.30,58
000098.370,0.53,0.88,0.32,58
000098.470,0.57,0.84,0.16,80
000098.570,0.54,0.84,0.21,60
000098.670,0.57,0.82,0.14,97
000098.770,0.59,0.80,-0.00,63
000098.870,0.61,0.79,-0.09,74
000098.970,0.62,0.78,-0.17,64
000099.070,0.63,0.78,-0.15,96
000099.170,0.63,0.78,-0.15,92
000099.270,0.61,0.82,-0.01,55
000099.370,0.59,0.84,0.09,57
000099.470,0.59,0.85,0.17,61
000099.570,0.59,0.86,0.22,64
000099.670,0.57,0.87,0.27,55
000099.770,0.60,0.82,0.09,64
000099.870,0.58,0.83,0.17,61
000099.970,0.60,0.81,0.08,89
000100.070,0.59,0.81,0.16,61
000100.170,0.59,0.81,0.17,88
000100.270,0.58,0.82,0.23,58
000100.370,0.56,0.82,0.26,63
000100.470,0.59,0.78,0.15,91
000100.570,0.60,0.78,0.05,85
000100.670,0.60,0.78,0.08,89
000100.770,0.62,0.77,-0.00,84
000100.870,0.60,0.79,0.11,57
000100.970,0.58,0.82,0.17,61
000101.070,0.60,0.80,0.02,64
000101.170,0.59,0.81,0.13,56
000101.270,0.59,0.80,0.04,86
000101.370,0.55,0.83,0.13,52
000101.470,0.57,0.84,0.02,76
000101.570,0.58,0.84,0.05,89
000101.670,0.56,0.86,0.12,60
000101.770,0.56,0.84,0.12,91
000101.870,0.56,0.82,0.15,86
000101.970,0.55,0.84,0.21,55
000102.070,0.55,0.85,0.26,61
000102.170,0.54,0.87,0.29,56
000102.270,0.56,0.85,0.30,76
000102.370,0.60,0.81,0.19,94
000102.470,0.58,0.84,0.23,59
000102.570,0.61,0.80,0.11,85
000102.670,0.63,0.78,-0.03,63
000102.770,0.61,0.79,0.03,81
000102.870,0.60,0.79,0.12,63
000102.970,0.63,0.77,-0.01,64
000103.070,0.60,0.80,0.10,53
000103.170,0.63,0.77,-0.03,64
000103.280,0.64,0.75,-0.13,69
000103.380,0.65,0.73,-0.15,89
000103.480,0.65,0.72,-0.21,69
000103.580,0.62,0.76,-0.05,56
000103.680,0.62,0.76,0.01,89
000103.780,0.61,0.78,0.07,80
000103.880,0.59,0.81,0.15,59
000103.980,0.61,0.78,0.03,76
000104.080,0.63,0.79,-0.05,80
000104.180,0.60,0.81,0.06,59
000104.280,0.62,0.79,-0.02,82
000104.380,0.59,0.81,0.09,55
000104.480,0.60,0.80,0.03,94
000104.580,0.57,0.83,0.10,60
000104.680,0.60,0.80,-0.03,63
000104.780,0.61,0.79,-0.09,84
000104.880,0.61,0.79,0.01,77
000104.980,0.60,0.79,0.04,90
000105.080,0.62,0.79,0.12,71
000105.180,0.63,0.78,0.05,94
000105.280,0.63,0.77,-0.02,85
000105.380,0.59,0.80,0.07,59
000105.480,0.60,0.81,0.13,75
000105.580,0.58,0.82,0.18,70
000105.680,0.57,0.84,0.24,54
000105.780,0.58,0.81,0.13,90
000105.880,0.61,0.79,0.05,89
000105.980,0.62,0.78,-0.07,63
000106.080,0.59,0.81,0.03,62
000106.180,0.57,0.83,0.12,57
000106.280,0.59,0.81,0.04,88
000106.380,0.59,0.80,0.07,90
000106.480,0.57,0.77,0.08,94
000106.580,0.59,0.77,0.00,85
000106.680,0.59,0.78,0.07,79
000106.780,0.60,0.76,-0.01,85
000106.880,0.58,0.80,0.08,60
000106.980,0.57,0.81,0.11,82
000107.080,0.60,0.81,0.15,80
000107.180,0.59,0.81,0.15,87
000107.280,0.57,0.83,0.22,56
000107.380,0.55,0.85,0.26,58
000107.480,0.55,0.87,0.30,55
000107.580,0.54,0.88,0.32,56
000107.680,0.53,0.89,0.34,55
000107.780,0.57,0.86,0.16,70
000107.880,0.55,0.86,0.22,55
000107.980,0.56,0.86,0.27,61
000108.080,0.58,0.84,0.13,79
000108.180,0.57,0.85,0.20,60
000108.280,0.60,0.82,0.09,86
000108.390,0.59,0.82,0.10,90
000108.490,0.56,0.83,0.17,60
000108.590,0.59,0.80,0.06,85
000108.690,0.59,0.79,-0.01,85
000108.790,0.58,0.80,0.09,62
000108.890,0.59,0.80,0.14,78
000108.990,0.61,0.77,-0.00,64
000109.090,0.61,0.79,0.05,84
000109.190,0.63,0.76,-0.02,87
000109.290,0.64,0.77,-0.12,64
000109.390,0.64,0.76,-0.15,85
000109.490,0.62,0.78,-0.01,58
000109.590,0.64,0.77,-0.11,66
000109.690,0.62,0.78,0.02,62
000109.790,0.62,0.77,-0.05,83
000109.890,0.61,0.78,-0.01,92
000109.990,0.61,0.78,0.02,92
000110.090,0.62,0.77,0.08,86
000110.190,0.63,0.77,-0.05,62
000110.290,0.61,0.79,0.07,58
000110.390,0.61,0.80,0.10,85
000110.490,0.59,0.80,0.19,58
000110.590,0.61,0.78,0.08,89
000110.690,0.62,0.77,0.02,91
000110.790,0.63,0.76,-0.04,89
000110.890,0.60,0.78,0.08,57
000110.990,0.58,0.82,0.16,51
000111.090,0.57,0.83,0.22,61
000111.190,0.57,0.82,0.23,82
000111.290,0.58,0.84,0.28,56
000111.390,0.57,0.84,0.31,61
000111.490,0.60,0.81,0.14,72
000111.590,0.61,0.79,0.03,81
000111.690,0.62,0.78,-0.04,85
000111.790,0.64,0.75,-0.12,70
000111.890,0.63,0.75,-0.02,78
000111.990,0.60,0.80,0.08,60
000112.090,0.58,0.81,0.15,62
000112.190,0.59,0.79,0.18,84
000112.290,0.59,0.80,0.14,95
000112.390,0.60,0.77,0.04,83
000112.490,0.61,0.78,-0.00,93
000112.590,0.61,0.80,0.10,63
000112.690,0.59,0.81,0.18,57
000112.790,0.61,0.79,0.08,86
000112.890,0.61,0.79,0.10,88
000112.990,0.62,0.79,0.04,93
000113.090,0.61,0.81,0.14,60
000113.190,0.59,0.83,0.19,60
000113.290,0.56,0.84,0.24,60
000113.390,0.56,0.84,0.22,83
000113.500,0.56,0.86,0.27,60
000113.600,0.54,0.87,0.30,51
