#Time,X,Y,Z,CONF
000091.520,0.60,0.81,-0.01,87
000091.620,0.63,0.79,-0.11,64
000091.720,0.61,0.82,0.01,60
000091.820,0.58,0.84,0.10,57
000091.920,0.61,0.81,0.01,82
000092.020,0.58,0.83,0.10,60
000092.120,0.62,0.79,-0.03,67
000092.220,0.61,0.80,0.09,59
000092.320,0.61,0.79,0.01,87
000092.420,0.60,0.81,0.11,59
000092.520,0.61,0.79,0.06,96
000092.620,0.62,0.78,-0.02,83
000092.720,0.58,0.83,0.08,52
000092.820,0.61,0.81,-0.05,62
000092.920,0.62,0.80,-0.10,84
000093.020,0.60,0.82,-0.04,84
000093.120,0.62,0.80,-0.09,87
000093.220,0.63,0.79,-0.14,82
000093.320,0.59,0.82,-0.01,56
000093.420,0.56,0.84,0.09,56
000093.520,0.56,0.84,0.10,88
000093.620,0.57,0.84,0.18,59
000093.720,0.55,0.85,0.25,53
000093.820,0.54,0.87,0.29,55
000093.920,0.57,0.84,0.16,87
000094.030,0.54,0.86,0.20,60
000094.130,0.57,0.84,0.11,92
000094.230,0.55,0.86,0.18,55
000094.330,0.60,0.82,0.11,95
000094.430,0.57,0.85,0.18,56
000094.530,0.60,0.82,0.06,82
000094.630,0.62,0.79,0.01,94
000094.730,0.63,0.76,-0.05,87
000094.830,0.64,0.77,-0.15,62
000094.930,0.66,0.76,-0.21,66
000095.030,0.63,0.79,-0.26,57
000095.130,0.58,0.82,-0.10,55
000095.230,0.62,0.80,-0.18,64
000095.330,0.63,0.78,-0.20,85
000095.430,0.58,0.81,-0.05,53
000095.530,0.55,0.85,0.06,53
000095.630,0.58,0.81,-0.03,81
000095.730,0.60,0.81,-0.07,88
000095.830,0.58,0.83,0.04,58
000095.930,0.61,0.81,-0.07,66
000096.030,0.62,0.79,-0.05,98
000096.130,0.64,0.77,-0.06,96
000096.230,0.63,0.79,0.06,59
000096.330,0.60,0.82,0.15,56
000096.430,0.62,0.79,0.07,94
000096.530,0.63,0.77,0.06,99
000096.630,0.62,0.79,0.10,83
000096.730,0.58,0.82,0.17,53
000096.830,0.55,0.86,0.23,47
000096.930,0.60,0.82,0.08,70
000097.030,0.57,0.84,0.15,56
000097.130,0.60,0.81,0.10,98
000097.230,0.56,0.84,0.16,57
000097.330,0.57,0.83,0.21,73
000097.430,0.59,0.81,0.08,79
000097.530,0.60,0.79,-0.00,85
000097.630,0.56,0.83,0.08,57
000097.730,0.58,0.80,-0.01,79
000097.830,0.56,0.84,0.08,56
000097.930,0.54,0.86,0.16,56
000098.030,0.59,0.82,0.10,97
000098.130,0.58,0.84,0.19,56
000098.230,0.55,0.86,0.24,54
000098.330,0.59,0.82,0.08,67
000098.430,0.57,0.83,0.10,80
000098.530,0.60,0.81,-0.02,70
000098.630,0.64,0.77,-0.10,75
000098.730,0.60,0.80,0.03,56
000098.830,0.59,0.82,0.12,58
000098.930,0.60,0.82,0.04,89
000099.040,0.58,0.84,0.11,62
000099.140,0.61,0.81,0.02,83
000099.240,0.61,0.80,-0.06,79
000099.340,0.58,0.83,0.06,51
000099.440,0.55,0.86,0.14,54
000099.540,0.53,0.88,0.19,56
000099.640,0.52,0.90,0.23,58
000099.740,0.52,0.89,0.28,55
000099.840,0.52,0.90,0.31,55
000099.940,0.57,0.86,0.13,63
000100.040,0.60,0.83,0.03,86
000100.140,0.58,0.85,0.13,54
000100.240,0.55,0.87,0.19,55
000100.340,0.58,0.83,0.08,87
000100.440,0.59,0.82,-0.00,84
000100.540,0.55,0.84,0.10,51
000100.640,0.54,0.86,0.18,56
000100.740,0.52,0.88,0.21,61
000100.840,0.55,0.84,0.08,79
000100.940,0.59,0.81,0.01,89
000101.040,0.60,0.78,-0.07,79
000101.140,0.58,0.81,0.05,56
000101.240,0.60,0.79,-0.05,74
000101.340,0.61,0.78,-0.07,95
000101.440,0.59,0.81,0.05,56
000101.540,0.60,0.79,-0.02,85
000101.640,0.58,0.83,0.07,59
000101.740,0.56,0.84,0.11,74
000101.840,0.58,0.82,0.03,85
000101.940,0.55,0.85,0.11,56
000102.040,0.54,0.86,0.13,78
000102.140,0.53,0.87,0.20,56
000102.240,0.58,0.83,0.04,63
000102.340,0.55,0.86,0.13,52
000102.440,0.59,0.81,0.08,98
000102.540,0.58,0.83,0.17,55
000102.640,0.60,0.82,0.07,88
000102.740,0.57,0.85,0.15,54
000102.840,0.61,0.81,0.09,96
000102.940,0.57,0.83,0.17,52
000103.040,0.55,0.85,0.23,56
000103.140,0.58,0.82,0.13,94
000103.240,0.62,0.79,-0.00,65
000103.340,0.58,0.82,0.10,50
000103.440,0.59,0.80,0.03,90
000103.540,0.61,0.79,-0.05,79
000103.640,0.58,0.81,0.07,53
000103.740,0.60,0.80,-0.01,87
000103.840,0.59,0.81,0.06,79
000103.940,0.58,0.81,0.09,82
000104.040,0.57,0.81,0.15,73
000104.150,0.59,0.80,0.06,90
000104.250,0.56,0.83,0.14,58
000104.350,0.54,0.85,0.20,54
000104.450,0.57,0.82,0.13,97
000104.550,0.54,0.86,0.19,52
000104.650,0.58,0.83,0.04,66
000104.750,0.56,0.86,0.13,51
000104.850,0.54,0.88,0.20,51
000104.950,0.54,0.86,0.22,78
000105.050,0.57,0.83,0.05,62
000105.150,0.60,0.80,0.02,98
000105.250,0.62,0.77,-0.03,90
000105.350,0.65,0.75,-0.05,95
000105.450,0.62,0.80,0.05,59
000105.550,0.64,0.77,0.03,98
000105.650,0.60,0.81,0.10,60
000105.750,0.63,0.79,-0.02,66
000105.850,0.63,0.78,-0.09,82
000105.950,0.59,0.83,0.04,48
000106.050,0.62,0.80,-0.08,63
000106.150,0.60,0.82,0.04,58
000106.250,0.60,0.83,0.14,58
000106.350,0.57,0.86,0.21,53
000106.450,0.55,0.87,0.24,62
000106.550,0.53,0.88,0.28,51
000106.650,0.52,0.90,0.30,59
000106.750,0.52,0.90,0.33,57
000106.850,0.57,0.84,0.23,98
000106.950,0.55,0.86,0.26,60
000107.050,0.53,0.87,0.30,55
000107.150,0.53,0.87,0.32,61
000107.250,0.56,0.83,0.16,78
000107.350,0.60,0.79,0.09,95
000107.450,0.58,0.82,0.16,58
000107.550,0.56,0.84,0.23,53
000107.650,0.55,0.87,0.27,55
000107.750,0.59,0.83,0.09,62
000107.850,0.58,0.84,0.14,74
000107.950,0.61,0.81,0.04,84
000108.050,0.63,0.78,0.00,96
000108.150,0.61,0.79,0.11,61
000108.250,0.59,0.81,0.18,59
000108.350,0.56,0.84,0.23,55
000108.450,0.54,0.86,0.28,51
000108.550,0.57,0.83,0.18,95
000108.650,0.56,0.84,0.24,58
000108.750,0.54,0.87,0.26,58
000108.850,0.57,0.83,0.16,93
000108.950,0.55,0.85,0.22,56
000109.050,0.54,0.86,0.26,56
000109.160,0.53,0.83,0.22,97
000109.260,0.52,0.85,0.26,55
000109.360,0.56,0.81,0.13,84
000109.460,0.53,0.83,0.21,52
000109.560,0.52,0.85,0.25,55
000109.660,0.53,0.87,0.30,55
000109.760,0.56,0.83,0.17,90
000109.860,0.55,0.84,0.24,54
000109.960,0.55,0.85,0.29,56
000110.060,0.56,0.84,0.28,82
000110.160,0.54,0.86,0.31,56
000110.260,0.57,0.84,0.16,83
000110.360,0.56,0.85,0.23,56
000110.460,0.58,0.82,0.11,86
000110.560,0.59,0.81,0.02,85
000110.660,0.59,0.83,0.11,61
000110.760,0.59,0.82,0.12,89
000110.860,0.59,0.82,0.09,93
000110.960,0.56,0.84,0.17,56
000111.060,0.54,0.87,0.20,62
000111.160,0.57,0.84,0.09,87
000111.260,0.55,0.86,0.17,53
000111.360,0.57,0.83,0.06,84
000111.460,0.55,0.86,0.14,57
000111.560,0.59,0.83,0.06,92
000111.660,0.61,0.80,0.03,98
000111.760,0.63,0.77,-0.09,63
000111.860,0.63,0.77,-0.13,81
000111.960,0.59,0.81,0.00,53
000112.060,0.61,0.77,-0.10,66
000112.160,0.58,0.81,0.02,57
000112.260,0.56,0.84,0.11,58
000112.360,0.60,0.80,-0.02,68
000112.460,0.57,0.83,0.08,59
000112.560,0.59,0.81,-0.04,67
000112.660,0.62,0.78,-0.09,89
000112.760,0.63,0.77,-0.14,78
000112.860,0.62,0.79,-0.06,86
000112.960,0.63,0.77,-0.10,90
000113.060,0.60,0.81,0.03,55
000113.160,0.56,0.83,0.11,61
000113.260,0.58,0.79,0.08,99
000113.360,0.61,0.78,0.04,97
000113.460,0.60,0.80,0.09,79
000113.560,0.57,0.83,0.17,57
000113.660,0.59,0.80,0.07,90
000113.760,0.58,0.82,0.15,60
000113.860,0.61,0.80,0.01,65
000113.960,0.62,0.79,-0.04,91
000114.070,0.59,0.81,0.07,60
000114.170,0.57,0.85,0.15,54
000114.270,0.60,0.81,0.04,83
000114.370,0.58,0.83,0.13,60
000114.470,0.57,0.83,0.20,59
000114.570,0.59,0.81,0.09,85
000114.670,0.57,0.83,0.16,59
000114.770,0.55,0.86,0.20,60
000114.870,0.54,0.87,0.26,53
000114.970,0.58,0.82,0.09,65
000115.070,0.61,0.78,0.04,96
000115.170,0.56,0.81,0.13,53
000115.270,0.55,0.83,0.20,55
000115.370,0.54,0.84,0.18,86
000115.470,0.52,0.86,0.21,58
000115.570,0.54,0.82,0.10,84
000115.670,0.56,0.81,0.14,79
000115.770,0.60,0.78,0.01,66
000115.870,0.54,0.86,0.11,33
000115.970,0.52,0.88,0.17,55
000116.070,0.52,0.87,0.15,85
000116.170,0.55,0.83,0.05,84
000116.270,0.60,0.80,-0.07,65
000116.370,0.62,0.78,-0.12,83
000116.470,0.63,0.77,-0.20,64
000116.570,0.58,0.80,-0.06,59
000116.670,0.56,0.83,0.05,55
000116.770,0.59,0.81,-0.01,90
000116.870,0.60,0.79,-0.08,83
000116.970,0.61,0.78,-0.11,87
000117.070,0.62,0.77,-0.14,90
000117.170,0.58,0.81,-0.00,52
000117.270,0.57,0.81,0.05,82
000117.370,0.60,0.79,-0.04,76
000117.470,0.61,0.77,-0.10,85
000117.570,0.59,0.79,0.04,57
000117.670,0.57,0.82,0.13,54
000117.770,0.55,0.84,0.21,51
000117.870,0.58,0.82,0.09,82
000117.970,0.61,0.79,0.00,85
000118.070,0.62,0.78,-0.03,95
000118.170,0.59,0.82,0.07,53
000118.270,0.55,0.85,0.13,61
000118.370,0.59,0.82,-0.00,67
000118.470,0.56,0.85,0.09,56
000118.570,0.56,0.86,0.17,58
000118.670,0.58,0.83,0.06,82
000118.770,0.61,0.81,-0.06,63
000118.870,0.62,0.79,-0.08,93
000118.970,0.59,0.83,0.02,62
000119.080,0.61,0.80,-0.06,82
000119.180,0.63,0.78,-0.15,66
000119.280,0.59,0.82,-0.02,57
000119.380,0.62,0.79,-0.13,62
000119.480,0.64,0.78,-0.15,89
000119.580,0.60,0.81,-0.03,60
000119.680,0.57,0.84,0.08,57
000119.780,0.61,0.80,-0.05,63
000119.880,0.63,0.79,-0.09,89
000119.980,0.59,0.82,0.03,56
000120.080,0.57,0.84,0.13,55
000120.180,0.55,0.86,0.18,60
000120.280,0.58,0.83,0.09,92
000120.380,0.60,0.79,-0.04,65
000120.480,0.63,0.77,-0.04,98
000120.580,0.64,0.76,-0.08,91
000120.680,0.62,0.79,0.04,59
000120.780,0.64,0.78,-0.05,79
000120.880,0.63,0.79,0.07,63
000120.980,0.59,0.83,0.14,55
000121.080,0.61,0.82,-0.00,63
000121.180,0.58,0.84,0.09,59
000121.280,0.58,0.84,0.18,58
000121.380,0.61,0.80,0.09,92
000121.480,0.63,0.78,0.01,86
000121.580,0.65,0.75,-0.10,65
000121.680,0.64,0.75,-0.16,76
000121.780,0.65,0.74,-0.19,82
000121.880,0.66,0.75,-0.19,88
000121.980,0.62,0.80,-0.25,51
000122.080,0.63,0.78,-0.29,63
000122.180,0.59,0.82,-0.14,62
000122.280,0.57,0.86,-0.03,60
000122.380,0.59,0.83,-0.12,67
000122.480,0.62,0.79,-0.12,96
000122.580,0.64,0.78,-0.20,63
000122.680,0.60,0.81,-0.07,62
000122.780,0.61,0.80,-0.13,80
000122.880,0.59,0.81,-0.05,82
000122.980,0.56,0.84,0.06,54
000123.080,0.57,0.83,0.12,76
000123.180,0.57,0.82,0.15,83
000123.280,0.61,0.79,0.00,63
000123.380,0.59,0.82,0.11,54
000123.480,0.61,0.80,0.01,81
000123.580,0.59,0.82,0.11,54
000123.680,0.57,0.84,0.19,55
000123.780,0.56,0.85,0.24,60
000123.880,0.54,0.88,0.28,53
000123.980,0.57,0.85,0.16,90
000124.090,0.56,0.85,0.22,62
000124.190,0.59,0.82,0.11,89
000124.290,0.62,0.80,0.03,89
000124.390,0.59,0.84,0.11,61
000124.490,0.56,0.86,0.17,56
000124.590,0.54,0.86,0.24,54
000124.690,0.55,0.86,0.26,71
000124.790,0.53,0.88,0.28,58
000124.890,0.55,0.87,0.31,63
000124.990,0.53,0.88,0.34,54
000125.090,0.57,0.84,0.16,73
000125.190,0.59,0.80,0.02,65
000125.290,0.60,0.80,-0.06,80
000125.390,0.63,0.78,-0.08,93
000125.490,0.61,0.80,0.05,56
000125.590,0.60,0.82,0.10,78
000125.690,0.57,0.84,0.17,55
000125.790,0.58,0.82,0.07,85
000125.890,0.59,0.80,-0.03,74
000125.990,0.58,0.81,0.01,86
000126.090,0.63,0.79,-0.09,66
000126.190,0.59,0.82,0.04,54
000126.290,0.60,0.81,-0.04,82
000126.390,0.57,0.83,0.08,51
000126.490,0.57,0.82,0.13,79
000126.590,0.61,0.78,-0.00,69
000126.690,0.65,0.75,-0.11,62
000126.790,0.60,0.79,0.02,55
000126.890,0.59,0.81,0.12,58
000126.990,0.62,0.79,-0.02,65
000127.090,0.62,0.77,-0.07,85
000127.190,0.60,0.79,0.00,79
000127.290,0.62,0.77,-0.06,87
000127.390,0.60,0.80,0.06,56
000127.490,0.57,0.83,0.13,62
000127.590,0.56,0.85,0.19,59
000127.690,0.55,0.88,0.22,61
000127.790,0.55,0.87,0.24,75
000127.890,0.56,0.84,0.12,85
000127.990,0.61,0.80,-0.01,67
000128.090,0.58,0.82,0.09,55
000128.190,0.55,0.86,0.15,61
000128.290,0.57,0.82,0.05,84
000128.390,0.56,0.83,0.14,58
000128.490,0.59,0.81,0.06,92
000128.590,0.61,0.79,-0.05,67
