#Time,X,Y,Z,CONF
000096.430,0.60,0.82,0.02,63
000096.530,0.58,0.85,0.10,62
000096.630,0.57,0.86,0.12,78
000096.730,0.55,0.88,0.17,61
000096.830,0.53,0.89,0.22,60
000096.930,0.53,0.89,0.26,57
000097.030,0.57,0.84,0.14,87
000097.130,0.56,0.85,0.20,59
000097.230,0.60,0.81,0.10,89
000097.330,0.61,0.80,0.02,85
000097.430,0.61,0.80,0.04,92
000097.530,0.63,0.78,-0.07,67
000097.630,0.64,0.77,-0.12,84
000097.730,0.60,0.80,0.00,57
000097.830,0.59,0.83,0.10,58
000097.930,0.61,0.82,-0.03,64
000098.030,0.58,0.84,0.08,55
000098.130,0.60,0.82,0.01,88
000098.230,0.62,0.80,-0.04,92
000098.330,0.59,0.82,0.08,56
000098.430,0.62,0.80,0.02,92
000098.530,0.61,0.80,0.07,82
000098.630,0.59,0.83,0.15,62
000098.730,0.62,0.80,0.01,68
000098.830,0.57,0.83,0.10,54
000098.930,0.60,0.81,-0.02,69
000099.030,0.63,0.82,-0.06,85
000099.130,0.63,0.81,-0.10,85
000099.230,0.62,0.83,0.03,58
000099.330,0.59,0.84,0.12,58
000099.430,0.60,0.82,0.04,89
000099.530,0.63,0.79,-0.08,62
000099.630,0.66,0.77,-0.16,65
000099.730,0.66,0.77,-0.23,62
000099.830,0.66,0.75,-0.23,89
000099.930,0.62,0.78,-0.14,84
000100.030,0.63,0.76,-0.18,80
000100.130,0.59,0.81,-0.05,56
000100.230,0.57,0.84,0.05,61
000100.330,0.60,0.81,-0.07,66
000100.430,0.62,0.78,-0.11,87
000100.540,0.61,0.80,0.02,58
000100.640,0.59,0.82,0.13,56
000100.740,0.63,0.79,-0.02,62
000100.840,0.60,0.82,0.09,53
000100.940,0.56,0.85,0.17,51
000101.040,0.56,0.85,0.19,76
000101.140,0.58,0.83,0.13,97
000101.240,0.61,0.80,0.03,83
000101.340,0.61,0.79,-0.08,65
000101.440,0.64,0.77,-0.17,63
000101.540,0.65,0.76,-0.19,83
000101.640,0.62,0.80,-0.04,55
000101.740,0.62,0.79,-0.09,88
000101.840,0.64,0.79,-0.10,93
000101.940,0.66,0.78,-0.18,64
000102.040,0.68,0.76,-0.24,65
000102.140,0.70,0.74,-0.07,63
000102.240,0.65,0.78,-0.15,58
000102.340,0.67,0.77,-0.22,64
000102.440,0.62,0.81,-0.26,57
000102.540,0.59,0.83,-0.09,52
000102.640,0.59,0.83,-0.01,82
000102.740,0.61,0.80,-0.05,93
000102.840,0.60,0.83,0.07,59
000102.940,0.59,0.85,0.15,58
000103.040,0.61,0.82,0.00,63
000103.140,0.61,0.81,-0.04,90
000103.240,0.63,0.78,-0.10,85
000103.340,0.66,0.76,-0.18,65
000103.440,0.66,0.76,-0.08,90
000103.540,0.67,0.75,-0.01,90
000103.640,0.66,0.75,0.05,87
000103.740,0.68,0.74,0.10,82
000103.840,0.65,0.77,-0.03,59
000103.940,0.61,0.80,0.08,56
000104.040,0.62,0.80,-0.05,64
000104.140,0.64,0.77,-0.15,63
000104.240,0.65,0.76,-0.15,92
000104.340,0.62,0.79,-0.01,57
000104.440,0.64,0.78,-0.05,91
000104.540,0.59,0.82,0.06,52
000104.640,0.61,0.80,-0.01,88
000104.740,0.54,0.87,0.09,32
000104.840,0.59,0.83,-0.04,66
000104.940,0.61,0.82,-0.13,64
000105.040,0.59,0.85,-0.00,58
000105.140,0.58,0.85,0.09,63
000105.250,0.57,0.86,0.16,62
000105.340,0.60,0.83,0.12,98
000105.450,0.57,0.85,0.18,59
000105.550,0.60,0.83,0.02,61
000105.650,0.64,0.79,-0.08,70
000105.750,0.61,0.80,0.05,57
000105.850,0.61,0.79,-0.02,86
000105.950,0.62,0.77,-0.02,98
000106.050,0.60,0.80,0.09,57
000106.150,0.58,0.82,0.10,81
000106.250,0.56,0.85,0.17,56
000106.350,0.59,0.83,0.02,63
000106.450,0.62,0.81,-0.09,63
000106.550,0.63,0.79,-0.10,94
000106.650,0.63,0.77,-0.17,71
000106.750,0.66,0.75,-0.22,70
000106.850,0.67,0.74,-0.27,67
000106.950,0.63,0.78,-0.31,55
000107.050,0.65,0.77,-0.33,67
000107.150,0.66,0.75,-0.25,98
000107.250,0.64,0.79,-0.24,81
000107.350,0.66,0.77,-0.21,94
000107.450,0.63,0.81,-0.26,53
000107.550,0.59,0.84,-0.10,55
000107.650,0.56,0.85,0.02,57
000107.750,0.59,0.82,-0.04,87
000107.850,0.60,0.80,-0.08,90
000107.950,0.58,0.83,0.04,60
000108.050,0.56,0.85,0.12,60
000108.150,0.54,0.86,0.18,57
000108.250,0.58,0.82,0.10,94
000108.350,0.59,0.82,-0.01,72
000108.450,0.61,0.79,-0.05,94
000108.550,0.62,0.79,-0.14,66
000108.650,0.59,0.81,0.00,54
000108.750,0.57,0.83,0.10,56
000108.850,0.55,0.85,0.17,57
000108.950,0.57,0.83,0.07,85
000109.050,0.58,0.82,-0.02,80
000109.150,0.61,0.80,-0.12,63
000109.250,0.64,0.77,-0.20,63
000109.350,0.64,0.76,-0.22,82
000109.450,0.65,0.75,-0.21,93
000109.550,0.65,0.75,-0.26,62
000109.650,0.65,0.75,-0.24,93
000109.750,0.61,0.78,-0.07,56
000109.850,0.63,0.78,-0.16,65
000109.950,0.59,0.82,-0.03,57
000110.050,0.57,0.84,0.08,57
000110.150,0.60,0.81,-0.02,76
000110.250,0.62,0.80,-0.12,63
000110.350,0.63,0.78,-0.15,89
000110.460,0.64,0.76,-0.18,83
000110.560,0.62,0.78,-0.09,84
000110.660,0.59,0.82,0.03,57
000110.760,0.57,0.84,0.11,60
000110.860,0.57,0.85,0.15,77
000110.960,0.56,0.86,0.20,62
000111.060,0.60,0.82,0.04,62
000111.160,0.61,0.83,-0.06,68
000111.260,0.58,0.86,0.04,55
000111.360,0.58,0.87,0.13,59
000111.460,0.56,0.90,0.18,58
000111.560,0.60,0.85,0.04,66
000111.660,0.58,0.88,0.13,50
000111.760,0.55,0.90,0.20,52
000111.860,0.58,0.86,0.08,85
000111.960,0.57,0.86,0.17,58
000112.060,0.55,0.87,0.22,57
000112.160,0.58,0.84,0.05,63
000112.260,0.59,0.83,-0.02,85
000112.360,0.57,0.85,0.09,54
000112.460,0.57,0.86,0.16,64
000112.560,0.54,0.88,0.22,50
000112.660,0.57,0.84,0.11,86
000112.760,0.56,0.86,0.17,60
000112.860,0.58,0.85,0.19,83
